Customer,Email,Country,Quarter,Revenue
Alpen Kaffee,orders@alpenkaffee.de,Germany,Q1,12000
Alpen Kaffee,orders@alpenkaffee.de,Germany,Q2,15500
Alpen Kaffee,orders@alpenkaffee.de,Germany,Q2,15500
Alpen Kaffee,orders@alpenkaffee.de,Germany,Q3,14200
Alpen Kaffee,orders@alpenkaffee.de,Germany,Q4,18100
Thames Analytics,hello@thamesanalytics.co.uk,UK,Q1,22000
Thames Analytics,hello@thamesanalytics.co.uk,UK,Q2,20400
Thames Analytics,hello@thamesanalytics.co.uk,UK,Q3,23800
Thames Analytics,hello@thamesanalytics.co.uk,UK,Q4,25900
Madrid Solar,ventas@madridsolar.es,Spain,Q1,9800
Madrid Solar,ventas@madridsolar.es,Spain,Q2,11200
Madrid Solar,ventas@madridsolar.es,Spain,Q3,12900
Madrid Solar,ventas@madridsolar.es,Spain,Q4,13400
Acme Robotics,sales@acmerobotics.com,USA,Q1,31000
Acme Robotics,sales@acmerobotics.com,USA,Q2,28000
Acme Robotics,sales@acmerobotics.com,USA,Q3,33500
Acme Robotics,sales@acmerobotics.com,USA,Q3,33500
Acme Robotics,sales@acmerobotics.com,USA,Q4,36000
Sakura Foods,info@sakurafoods.jp,Japan,Q1,8700
Sakura Foods,info@sakurafoods.jp,Japan,Q2,9100
Sakura Foods,info@sakurafoods.jp,Japan,Q3,9900
Sakura Foods,info@sakurafoods.jp,Japan,Q4,10800
Maple Data,team@mapledata.ca,Canada,Q1,5400
Maple Data,team@mapledata.ca,Canada,Q2,6100
